MSW05_Binomial,5-1_AdultBodyMass_g,9-1_GestationLen_d,14-1_InterbirthInterval_d,15-1_LitterSize,17-1_MaxLongevity_m,23-1_SexualMaturityAge_d,24-1_TeatNumber,25-1_WeaningAge_d,6-1_DietBreadth,6-2_TrophicLevel,1-1_ActivityCycle,26-1_GR_Area_km2,21-1_PopulationDensity_n/km2
Pithecheir melanurus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,316.12,-999.0
Pithecheir parvus,-999.0,-999.0,-999.0,2.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,3988.07,-999.0
Pithecheirops otion,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Pithecia aequatorialis,2375.91,-999.0,-999.0,-999.0,178.8,-999.0,-999,-999.0,3.0,1,3.0,113679.06,-999.0
Pithecia albicans,2800.07,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,3.0,80794.37,9.39
Pithecia irrorata,2308.17,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,3.0,1135691.52,11.3
Pithecia monachus,2109.55,-999.0,-999.0,1.02,295.2,-999.0,-999,-999.0,4.0,2,3.0,2272018.67,8.0
Pithecia pithecia,1667.19,161.13,448.03,1.01,248.4,1089.37,-999,113.15,2.0,1,3.0,1037797.75,4.19
Plagiodontia aedium,1268.86,136.5,-999.0,1.14,118.8,-999.0,-999,-999.0,3.0,1,1.0,75198.74,-999.0
Plagiodontia araeum,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Plagiodontia ipnaeum,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Planigale gilesi,9.34,15.74,341.0,5.23,60.0,272.11,-999,83.52,-999.0,-999,2.0,975072.84,739.99
Planigale ingrami,6.27,-999.0,-999.0,7.48,15.6,-999.0,-999,89.74,2.0,3,2.0,1080525.04,-999.0
Planigale maculata,12.0,19.74,91.0,7.64,48.0,308.79,-999,70.72,-999.0,-999,2.0,1262767.92,-999.0
Planigale novaeguineae,14.9,-999.0,-999.0,-999.0,-999.0,-999.0,6,-999.0,-999.0,-999,2.0,5648.74,-999.0
Planigale tenuirostris,6.27,19.0,211.5,5.99,36.0,272.11,-999,94.46,-999.0,-999,2.0,1261840.98,-999.0
Platacanthomys lasiurus,-999.0,-999.0,-999.0,-999.0,20.4,-999.0,-999,-999.0,-999.0,-999,-999.0,87720.27,-999.0
Platalina genovensium,-999.0,-999.0,-999.0,0.98,-999.0,-999.0,-999,-999.0,1.0,1,-999.0,672990.49,-999.0
Platanista gangetica,93481.96,304.16,-999.0,0.97,336.0,-999.0,-999,339.47,2.0,3,-999.0,-999.0,-999.0
Platanista minor,75990.24,304.16,-999.0,1.0,336.0,-999.0,-999,339.47,2.0,3,-999.0,-999.0,-999.0
Platymops setiger,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,1790267.9,-999.0
Platyrrhinus aurarius,35.12,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,434351.66,-999.0
Platyrrhinus brachycephalus,14.26,-999.0,-999.0,0.98,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,6905773.42,-999.0
Platyrrhinus chocoensis,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,40113.01,-999.0
Platyrrhinus dorsalis,26.0,-999.0,-999.0,0.99,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,2202496.45,-999.0
Platyrrhinus helleri,13.44,-999.0,-999.0,0.99,-999.0,-999.0,-999,-999.0,1.0,1,-999.0,10885924.75,-999.0
Platyrrhinus infuscus,50.76,-999.0,-999.0,0.98,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,2812367.88,-999.0
Platyrrhinus lineatus,24.34,107.97,-999.0,0.99,122.4,-999.0,-999,-999.0,2.0,2,-999.0,6717965.67,-999.0
Platyrrhinus recifinus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,2076551.04,-999.0
Platyrrhinus umbratus,25.17,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,1151725.92,-999.0
Platyrrhinus vittatus,37.01,-999.0,-999.0,0.98,-999.0,-999.0,-999,-999.0,1.0,1,-999.0,2096484.1,-999.0
Plecotus alpinus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Plecotus auritus,8.19,65.12,-999.0,1.22,360.0,338.33,-999,42.09,1.0,3,-999.0,12452922.57,-999.0
Plecotus austriacus,6.75,-999.0,-999.0,-999.0,180.0,-999.0,-999,-999.0,-999.0,-999,-999.0,8090041.6,-999.0
Plecotus balensis,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,21653.49,-999.0
Plecotus kolombatovici,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Plecotus sardus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Plecotus taivanus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,36065.98,-999.0
Plecotus teneriffae,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,3050.8,-999.0
Plerotes anchietae,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,200249.81,-999.0
Podogymnura aureospinula,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,1.0,832.19,-999.0
Podogymnura truei,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,2.0,2,1.0,94772.99,-999.0
Podomys floridanus,30.74,-999.0,33.0,2.6,88.0,40.36,-999,24.81,4.0,2,1.0,69082.12,-999.0
Podoxymys roraimae,33.79,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,1239.18,-999.0
Poecilogale albinucha,308.16,32.55,243.33,2.23,62.4,914.79,4,76.56,1.0,3,1.0,6524644.39,-999.0
Poelagus marjorita,2509.7,34.99,-999.0,1.19,-999.0,-999.0,-999,-999.0,-999.0,-999,1.0,1928031.05,-999.0
Pogonomelomys bruijni,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,4,-999.0,-999.0,-999,-999.0,10683.24,-999.0
Pogonomelomys mayeri,111.97,-999.0,-999.0,2.15,-999.0,-999.0,4,-999.0,-999.0,-999,-999.0,3091.92,-999.0
Pogonomys championi,50.45,-999.0,-999.0,2.15,-999.0,-999.0,6,-999.0,2.0,1,1.0,315.18,-999.0
Pogonomys fergussoniensis,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,2938.84,-999.0
Pogonomys loriae,95.39,-999.0,-999.0,2.68,-999.0,-999.0,6,-999.0,3.0,1,1.0,242498.11,-999.0
Pogonomys macrourus,46.98,-999.0,-999.0,2.81,29.0,-999.0,6,-999.0,3.0,1,1.0,431652.31,-999.0
Pogonomys sylvestris,41.67,-999.0,-999.0,2.64,-999.0,-999.0,6,-999.0,2.0,1,1.0,128123.99,-999.0
Poiana leightoni,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,188494.8,-999.0
Poiana richardsonii,570.08,-999.0,-999.0,2.23,64.0,-999.0,-999,-999.0,6.0,2,1.0,2191921.08,1.0
Pongo abelii,39696.12,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,16756.21,-999.0
Pongo pygmaeus,53408.29,259.42,2007.5,1.07,720.0,3318.62,-999,1088.8,5.0,2,3.0,245264.03,2.0
Pontoporia blainvillei,40499.99,326.89,730.0,1.0,192.0,980.44,-999,316.09,2.0,3,-999.0,-999.0,-999.0
Potamochoerus larvatus,69063.79,121.73,-999.0,2.73,-999.0,-999.0,-999,-999.0,7.0,2,1.0,5892226.64,0.4
Potamochoerus porcus,70000.31,120.0,365.0,3.0,240.0,1113.7,6,-999.0,5.0,2,2.0,5033216.84,0.23
Potamogale velox,670.99,-999.0,-999.0,2.5,-999.0,-999.0,-999,-999.0,2.0,3,1.0,4646234.16,-999.0
Potorous gilbertii,1569.46,-999.0,-999.0,1.0,-999.0,-999.0,-999,208.67,2.0,1,1.0,7753.72,-999.0
Potorous longipes,1835.06,38.0,151.0,1.0,120.0,855.56,-999,161.0,3.0,1,1.0,7279.9,40.0
Potorous platyops,499.99,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,1.0,-999.0,-999.0
Potorous tridactylus,1054.67,33.55,133.0,1.0,144.0,413.84,2,167.33,-999.0,-999,1.0,125855.03,21.44
Potos flavus,2441.81,116.8,365.0,1.11,348.0,858.41,2,109.13,4.0,2,1.0,12770952.51,34.21
Praomys daltoni,34.99,27.64,-999.0,5.44,-999.0,140.0,-999,-999.0,-999.0,-999,-999.0,1593643.84,1500.0
Praomys degraaffi,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Praomys delectorum,35.99,-999.0,-999.0,3.88,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,267884.96,-999.0
Praomys derooi,32.0,-999.0,-999.0,3.75,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,301232.65,-999.0
Praomys hartwigi,38.86,-999.0,-999.0,3.49,-999.0,-999.0,-999,-999.0,4.0,2,-999.0,38315.64,-999.0
Praomys jacksoni,39.01,35.49,-999.0,3.67,-999.0,74.2,-999,30.0,-999.0,-999,-999.0,3922075.04,-999.0
Praomys lukolelae,42.2,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,1.0,1546.35,-999.0
Praomys minor,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,3908.1,-999.0
Praomys misonnei,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,54954.33,-999.0
Praomys morio,41.73,35.99,-999.0,3.28,-999.0,79.71,-999,30.77,4.0,2,-999.0,4792.43,-999.0
Praomys mutoni,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,6883.22,-999.0
Praomys obscurus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Praomys petteri,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Praomys rostratus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,75658.69,-999.0
Praomys tullbergi,37.1,23.9,24.0,3.36,62.4,57.07,-999,24.5,-999.0,-999,1.0,1062893.48,1739.53
Praomys verschureni,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,6171.24,-999.0
Presbytis chrysomelas,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,74224.44,-999.0
Presbytis comata,6550.07,-999.0,-999.0,1.01,-999.0,-999.0,-999,-999.0,3.0,1,3.0,42000.55,25.68
Presbytis femoralis,7026.91,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,3.0,154945.76,-999.0
Presbytis frontata,6096.6,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,3.0,203400.02,-999.0
Presbytis hosei,6277.78,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,3.0,196668.5,4.42
Presbytis melalophos,6439.12,-999.0,-999.0,1.01,192.0,-999.0,-999,-999.0,1.0,1,3.0,130402.58,59.34
Presbytis natunae,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,1445.56,-999.0
Presbytis potenziani,6449.53,-999.0,-999.0,1.02,-999.0,-999.0,-999,-999.0,-999.0,-999,3.0,6044.85,14.8
Presbytis rubicunda,6348.53,-999.0,-999.0,1.01,-999.0,-999.0,-999,-999.0,1.0,1,3.0,674127.71,19.27
Presbytis siamensis,5895.06,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,3.0,87550.36,-999.0
Presbytis thomasi,6689.99,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,3.0,49763.07,27.0
Priodontes maximus,40641.89,124.24,-999.0,1.5,180.0,327.59,-999,34.8,2.0,3,1.0,10006526.45,0.35
Prionailurus bengalensis,2780.97,70.18,165.56,2.5,180.0,855.31,-999,24.85,1.0,3,1.0,10201747.8,-999.0
Prionailurus iriomotensis,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,280.7,-999.0
Prionailurus planiceps,3533.76,56.0,-999.0,-999.0,-999.0,-999.0,8,-999.0,2.0,2,1.0,1100389.34,-999.0
Prionailurus rubiginosus,1418.75,-999.0,-999.0,2.23,-999.0,-999.0,-999,-999.0,1.0,3,1.0,1372527.48,-999.0
Prionailurus viverrinus,8826.46,71.43,-999.0,2.0,120.0,-999.0,-999,135.96,1.0,3,2.0,3546617.17,-999.0
Prionodon linsang,684.83,-999.0,182.5,2.3,128.4,-999.0,4,-999.0,6.0,2,1.0,1202013.54,-999.0
Prionodon pardicolor,1142.68,-999.0,182.5,2.0,-999.0,-999.0,-999,-999.0,6.0,2,1.0,1096040.96,-999.0
Prionomys batesi,12.5,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,13174.7,-999.0
Procapra gutturosa,28274.27,189.94,365.0,1.41,84.0,893.06,-999,38.97,1.0,1,2.0,322170.9,-999.0
Procapra picticaudata,23197.67,-999.0,-999.0,1.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,1936510.55,-999.0
Procapra przewalskii,27499.99,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,40688.43,-999.0
Procavia capensis,2952.48,231.24,365.0,2.5,168.0,487.07,6,90.99,5.0,1,3.0,24125352.41,2734.51
Procolobus verus,3977.86,167.84,-999.0,1.02,-999.0,-999.0,-999,-999.0,1.0,1,3.0,130901.22,18.6
Procyon cancrivorus,6931.72,69.35,-999.0,2.62,168.0,631.37,-999,111.36,6.0,2,1.0,12829315.4,5.74
Procyon lotor,6373.72,65.0,365.0,3.06,252.0,561.28,6,104.16,6.0,2,2.0,11703644.72,3.29
Proteles cristata,8139.39,90.62,-999.0,2.64,300.0,631.37,4,125.73,1.0,3,1.0,6435462.88,0.81
Protochromys fellowsi,78.99,-999.0,-999.0,2.68,-999.0,-999.0,4,20.0,3.0,1,-999.0,1684.66,-999.0
Protoxerus aubinnii,427.94,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,310389.66,-999.0
Protoxerus stangeri,630.43,-999.0,-999.0,1.47,61.2,-999.0,-999,-999.0,2.0,1,3.0,3688592.61,-999.0
Przewalskium albirostris,161681.9,263.41,-999.0,1.0,216.0,-999.0,-999,-999.0,-999.0,-999,-999.0,1061382.86,-999.0
Psammomys obesus,102.15,24.8,38.3,3.49,-999.0,63.38,-999,24.18,-999.0,-999,3.0,1735287.94,69.97
Psammomys vexillaris,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,752435.94,-999.0
Pseudantechinus bilarni,23.05,38.98,365.0,4.75,36.0,353.81,6,111.36,-999.0,-999,2.0,69385.0,-999.0
Pseudantechinus macdonnellensis,36.88,44.72,365.0,5.88,36.0,355.43,-999,97.72,-999.0,-999,2.0,881507.53,-999.0
Pseudantechinus mimulus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,230.43,-999.0
Pseudantechinus ningbing,20.74,46.71,365.0,4.0,24.0,348.62,-999,111.68,-999.0,-999,2.0,167787.21,-999.0
Pseudantechinus roryi,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,52848.04,-999.0
Pseudantechinus woolleyae,43.23,-999.0,-999.0,5.99,48.0,340.14,-999,-999.0,-999.0,-999,2.0,356927.91,-999.0
Pseudocheirus peregrinus,895.22,-999.0,251.6,1.89,96.0,375.27,4,197.14,2.0,1,-999.0,1440312.81,654.82
Pseudochirops albertisii,784.85,-999.0,-999.0,1.02,-999.0,-999.0,-999,-999.0,3.0,1,2.0,22493.05,-999.0
Pseudochirops archeri,1145.92,-999.0,365.0,1.03,-999.0,-999.0,-999,-999.0,1.0,1,-999.0,13596.8,150.0
Pseudochirops corinnae,1123.0,-999.0,-999.0,1.02,-999.0,-999.0,-999,-999.0,2.0,1,2.0,209842.04,-999.0
Pseudochirops coronatus,1395.85,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,2.0,1,2.0,97.0,-999.0
Pseudochirops cupreus,1764.08,-999.0,-999.0,1.01,-999.0,-999.0,-999,-999.0,2.0,1,2.0,205225.01,-999.0
Pseudochirulus canescens,300.0,-999.0,-999.0,2.57,-999.0,-999.0,4,-999.0,2.0,1,-999.0,101962.23,-999.0
Pseudochirulus caroli,456.02,-999.0,-999.0,-999.0,-999.0,-999.0,4,-999.0,2.0,1,-999.0,38148.52,-999.0
Pseudochirulus cinereus,977.48,-999.0,-999.0,2.0,-999.0,-999.0,-999,-999.0,1.0,1,-999.0,9764.16,146.0
Pseudochirulus forbesi,639.16,-999.0,-999.0,1.26,-999.0,-999.0,4,-999.0,2.0,1,-999.0,41306.37,-999.0
Pseudochirulus herbertensis,1098.34,-999.0,332.0,1.89,-999.0,544.23,-999,159.09,-999.0,-999,-999.0,10352.35,899.99
Pseudochirulus larvatus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,107678.19,-999.0
Pseudochirulus mayeri,151.75,-999.0,-999.0,1.26,-999.0,-999.0,4,-999.0,3.0,1,-999.0,71728.11,-999.0
Pseudochirulus schlegeli,255.44,-999.0,-999.0,-999.0,-999.0,-999.0,4,-999.0,2.0,1,-999.0,74.93,-999.0
Pseudohydromys ellermani,21.4,-999.0,-999.0,-999.0,-999.0,-999.0,4,-999.0,3.0,2,-999.0,49257.1,-999.0
Pseudohydromys fuscus,18.74,-999.0,-999.0,-999.0,-999.0,-999.0,4,-999.0,3.0,2,-999.0,3155.41,-999.0
Pseudohydromys murinus,16.79,-999.0,-999.0,0.97,-999.0,-999.0,4,-999.0,3.0,2,-999.0,2880.34,-999.0
Pseudohydromys occidentalis,21.9,-999.0,-999.0,-999.0,-999.0,-999.0,4,-999.0,2.0,2,-999.0,934.02,-999.0
Pseudois nayaur,52334.57,159.74,-999.0,1.22,288.0,420.91,2,-999.0,2.0,1,3.0,3101839.68,2.49
Pseudois schaeferi,29249.99,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,61143.76,-999.0
Pseudomys albocinereus,30.5,29.75,38.5,3.89,-999.0,77.34,4,29.58,-999.0,-999,-999.0,241382.45,-999.0
Pseudomys apodemoides,23.78,44.49,-999.0,4.9,-999.0,-999.0,4,34.99,-999.0,-999,-999.0,42383.45,-999.0
Pseudomys australis,52.97,31.35,-999.0,3.0,67.2,183.07,4,25.9,-999.0,-999,-999.0,191946.34,-999.0
Pseudomys bolami,15.5,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,639367.12,-999.0
Pseudomys calabyi,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Pseudomys chapmani,10.95,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,244137.11,-999.0
Pseudomys delicatulus,8.56,29.89,-999.0,3.19,-999.0,-999.0,4,27.0,2.0,1,-999.0,1709436.95,-999.0
Pseudomys desertor,37.09,28.96,29.75,3.0,-999.0,79.32,4,24.49,-999.0,-999,-999.0,1317772.95,-999.0
Pseudomys fieldi,42.35,29.49,-999.0,3.49,-999.0,-999.0,4,28.9,2.0,1,-999.0,45.74,-999.0
Pseudomys fumeus,68.75,-999.0,-999.0,-999.0,-999.0,-999.0,4,-999.0,-999.0,-999,-999.0,36320.16,-999.0
Pseudomys glaucus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,4,-999.0,-999.0,-999,-999.0,28931.98,-999.0
Pseudomys gouldii,49.99,-999.0,-999.0,-999.0,-999.0,-999.0,4,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Pseudomys gracilicaudatus,79.53,27.0,-999.0,2.91,-999.0,-999.0,4,25.66,-999.0,-999,-999.0,273612.83,-999.0
Pseudomys hermannsburgensis,13.38,31.5,-999.0,2.0,-999.0,91.53,-999,30.0,-999.0,-999,-999.0,3421131.92,-999.0
Pseudomys higginsi,63.16,32.16,-999.0,2.62,-999.0,274.61,4,27.0,3.0,2,1.0,42390.86,520.0
Pseudomys johnsoni,12.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,14173.68,-999.0
Pseudomys laborifex,12.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,140283.24,-999.0
Pseudomys nanus,70.38,23.99,-999.0,3.0,-999.0,101.7,4,25.0,-999.0,-999,-999.0,982168.22,-999.0
Pseudomys novaehollandiae,16.8,31.48,33.5,4.43,-999.0,122.04,4,25.2,-999.0,-999,-999.0,137359.77,-999.0
Pseudomys occidentalis,34.0,-999.0,-999.0,3.0,-999.0,-999.0,4,-999.0,3.0,1,1.0,62370.27,-999.0
Pseudomys oralis,95.0,-999.0,-999.0,-999.0,-999.0,-999.0,4,-999.0,-999.0,-999,-999.0,139910.82,-999.0
Pseudomys patrius,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,70.99,-999.0
Pseudomys pilligaensis,10.72,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,4765.35,-999.0
Pseudomys shortridgei,72.06,-999.0,-999.0,3.0,-999.0,324.83,4,-999.0,-999.0,-999,-999.0,45747.71,-999.0
Pteropus intermedius,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,23524.64,-999.0
Pteropus keyensis,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,3819.09,-999.0
Pteropus leucopterus,343.81,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,107982.23,-999.0
Pteropus livingstonii,734.27,152.08,-999.0,1.0,-999.0,-999.0,-999,151.22,-999.0,-999,-999.0,639.47,-999.0
Pteropus lombocensis,256.15,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,65052.84,-999.0
Pteropus loochoensis,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Pteropus lylei,319.75,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,1.0,1,-999.0,111952.43,-999.0
Pteropus macrotis,365.99,-999.0,-999.0,1.0,-999.0,-999.0,-999,350.78,-999.0,-999,-999.0,361950.13,-999.0
Pteropus mahaganus,297.28,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,11364.47,-999.0
Pteropus mariannus,458.58,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,3.0,1,-999.0,1030.33,-999.0
Pteropus melanopogon,874.94,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,30972.95,-999.0
Pteropus melanotus,-999.0,156.43,-999.0,1.0,-999.0,210.45,-999,-999.0,-999.0,-999,-999.0,5919.16,-999.0
Pteropus molossinus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,2.0,1,-999.0,349.59,-999.0
Pteropus neohibernicus,1017.37,-999.0,-999.0,1.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,455283.09,-999.0
Pteropus niger,474.43,-999.0,-999.0,1.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,1882.16,-999.0
Pteropus nitendiensis,275.56,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,515.2,-999.0
Pteropus ocularis,228.76,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,26128.32,-999.0
Pteropus ornatus,336.25,187.72,-999.0,0.98,-999.0,755.15,-999,-999.0,-999.0,-999,-999.0,18308.58,-999.0
Pteropus pelewensis,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,0.06,-999.0
Pteropus personatus,130.84,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,25383.48,-999.0
Pteropus pilosus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Pteropus pohlei,352.75,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,5156.49,-999.0
Pteropus poliocephalus,702.78,187.72,-999.0,1.0,-999.0,536.12,-999,120.0,2.0,1,-999.0,547129.94,-999.0
Pteropus pselaphon,-999.0,-999.0,-999.0,0.98,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,72.37,-999.0
Pteropus pumilus,184.05,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,1.0,1,-999.0,232023.94,-999.0
Pteropus rayneri,661.28,-999.0,-999.0,0.99,-999.0,-999.0,-999,181.36,-999.0,-999,-999.0,26002.69,-999.0
Pteropus rennelli,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,679.88,-999.0
Pteropus rodricensis,256.17,154.24,-999.0,1.0,360.0,755.15,-999,149.74,1.0,1,-999.0,111.5,-999.0
Pteropus rufus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,359698.78,-999.0
Pteropus samoensis,309.99,-999.0,-999.0,-999.0,-999.0,-999.0,-999,143.2,2.0,1,3.0,19596.0,-999.0
Pteropus scapulatus,380.35,-999.0,-999.0,1.0,-999.0,566.36,-999,133.76,2.0,1,-999.0,3331529.09,-999.0
Pteropus seychellensis,492.2,156.43,-999.0,1.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,706.03,-999.0
Pteropus speciosus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,96863.56,-999.0
Pteropus subniger,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Pteropus temminckii,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,26928.33,-999.0
Pteropus tokudae,153.7,-999.0,-999.0,1.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
