MSW05_Binomial,5-1_AdultBodyMass_g,9-1_GestationLen_d,14-1_InterbirthInterval_d,15-1_LitterSize,17-1_MaxLongevity_m,23-1_SexualMaturityAge_d,24-1_TeatNumber,25-1_WeaningAge_d,6-1_DietBreadth,6-2_TrophicLevel,1-1_ActivityCycle,26-1_GR_Area_km2,21-1_PopulationDensity_n/km2
Hydrodamalis gigas,4000000.0,365.0,-999.0,1.0,-999.0,-999.0,2,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Hydromys chrysogaster,626.17,36.6,60.83,3.51,74.0,124.43,4,30.0,2.0,3,2.0,3891043.27,-999.0
Hydromys habbema,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,4,-999.0,-999.0,-999,-999.0,345.8,-999.0
Hydromys hussoni,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,3,-999.0,-999.0,-999,-999.0,717.32,-999.0
Hydromys neobritannicus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,4,-999.0,-999.0,-999,-999.0,35567.2,-999.0
Hydromys shawmayeri,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,4,-999.0,2.0,3,-999.0,47925.94,-999.0
Hydropotes inermis,12760.04,175.49,-999.0,3.0,144.0,292.63,-999,-999.0,-999.0,-999,-999.0,1140413.15,-999.0
Hydrurga leptonyx,352675.48,272.79,365.0,0.96,312.0,1389.01,-999,30.41,6.0,2,2.0,-999.0,0.11
Hyemoschus aquaticus,10850.0,173.52,-999.0,1.22,168.0,314.64,-999,136.87,1.0,1,1.0,2571576.3,15.85
Hyladelphys kalinowskii,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Hylobates agilis,5829.08,-999.0,-999.0,1.02,528.0,-999.0,-999,-999.0,4.0,2,3.0,140009.66,11.73
Hylobates albibarbis,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,159603.65,-999.0
Hylobates klossii,5822.29,207.59,-999.0,1.01,-999.0,-999.0,-999,-999.0,3.0,2,3.0,6044.85,16.62
Hylobates lar,5578.61,212.91,983.67,1.01,480.0,3852.57,-999,725.86,4.0,2,3.0,425651.78,6.6
Herpestes vitticollis,2380.0,-999.0,-999.0,2.73,-999.0,-999.0,-999,-999.0,-999.0,-999,2.0,197229.0,-999.0
Hesperoptenus blanfordi,6.91,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,457426.59,-999.0
Heteromys gaumeri,63.59,-999.0,-999.0,2.95,-999.0,-999.0,-999,-999.0,2.0,1,-999.0,168039.08,-999.0
Heteromys nelsoni,67.55,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,2.0,1,-999.0,1561.5,-999.0
Heteromys oasicus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Heteromys oresterus,74.8,-999.0,-999.0,3.41,-999.0,-999.0,-999,-999.0,2.0,1,-999.0,1335.88,-999.0
Heteromys teleus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Lagostomus crassus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Lampronycteris brachyotis,10.39,-999.0,-999.0,0.98,-999.0,-999.0,-999,-999.0,2.0,2,-999.0,4953546.05,-999.0
Lariscus hosei,180.0,-999.0,-999.0,1.94,-999.0,-999.0,6,-999.0,-999.0,-999,-999.0,34178.18,-999.0
Lariscus insignis,174.41,-999.0,-999.0,-999.0,-999.0,-999.0,6,-999.0,2.0,1,-999.0,1341081.13,-999.0
Lariscus niobe,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,559126.82,-999.0
Lariscus obscurus,241.19,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,3.0,2,3.0,6044.85,-999.0
Lasionycteris noctivagans,11.02,53.55,-999.0,1.77,144.0,154.68,-999,35.99,1.0,3,-999.0,10115944.09,-999.0
Lasiurus borealis,12.33,84.21,-999.0,3.12,-999.0,-999.0,-999,38.0,1.0,3,-999.0,2598559.1,-999.0
Lasiurus castaneus,12.51,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,1.0,3,-999.0,9516.32,-999.0
Lasiurus cinereus,27.06,57.18,-999.0,1.96,25.2,-999.0,-999,36.41,1.0,3,-999.0,21759652.98,-999.0
Lasiurus degelidus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,11081.39,-999.0
Lasiurus ebenus,14.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,94.97,-999.0
Lasiurus ega,12.2,96.22,-999.0,2.14,-999.0,377.37,-999,-999.0,1.0,3,-999.0,17490735.54,-999.0
Lasiurus egregius,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,184920.31,-999.0
Lasiurus insularis,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,107157.22,-999.0
Lasiurus intermedius,22.96,-999.0,-999.0,2.97,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,1863284.42,-999.0
Lasiurus minor,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,83334.5,-999.0
Lasiurus pfeifferi,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,107157.22,-999.0
Lasiurus salinae,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Lasiurus seminolus,9.88,-999.0,-999.0,2.68,-999.0,-999.0,-999,-999.0,1.0,3,-999.0,1335371.21,-999.0
Lasiurus varius,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Lasiurus xanthinus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,1420033.9,-999.0
Latidens salimalii,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,563.41,-999.0
Lavia frons,23.8,93.86,-999.0,0.99,-999.0,-999.0,-999,53.48,1.0,3,-999.0,13982556.19,-999.0
Leggadina forresti,23.88,-999.0,-999.0,-999.0,-999.0,91.53,4,30.0,-999.0,-999,-999.0,1812559.72,-999.0
Leggadina lakedownensis,17.5,32.99,-999.0,-999.0,-999.0,91.53,-999,30.0,-999.0,-999,-999.0,704032.46,-999.0
Leimacomys buettneri,54.99,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,4323.64,-999.0
Lemmiscus curtatus,28.27,25.16,-999.0,5.11,-999.0,60.62,4,21.0,4.0,1,2.0,1661694.53,589.92
Margaretamys elegans,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,313.91,-999.0
Margaretamys parvus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,313.91,-999.0
Marmosa andersoni,47.4,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,1.0,412.04,-999.0
Marmosa lepida,14.0,-999.0,-999.0,4.99,-999.0,-999.0,-999,-999.0,-999.0,-999,1.0,441236.47,-999.0
