Species1,Beak.Length_Culmen,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Mass,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Range.Size
Anthus hoeschi,16.4,4.0,3.9,26.6,84.9,24.8,27.0,Grassland,3,3.0,Carnivore,Invertivore,Terrestrial,31304.48
Anthus leucophrys,16.6,3.3,4.1,29.1,94.9,26.9,24.98,Grassland,2,1.0,Carnivore,Invertivore,Terrestrial,8950742.46
Anthus lineiventris,18.4,3.7,5.0,27.8,84.0,14.9,35.0,Grassland,3,1.0,Carnivore,Invertivore,Terrestrial,1635119.6
Anthus lutescens,13.3,3.1,3.3,19.3,60.4,3.8,12.6,Shrubland,3,2.0,Carnivore,Invertivore,Terrestrial,7241509.05
Anthus melindae,16.2,3.4,4.8,26.1,83.6,16.2,22.5,Grassland,3,1.0,Carnivore,Invertivore,Terrestrial,108383.57
Anthus nattereri,11.8,3.4,4.0,23.2,71.9,14.2,19.5,Grassland,3,1.0,Carnivore,Invertivore,Terrestrial,181070.54
Anthus nilghiriensis,15.5,3.6,3.9,23.7,74.8,11.8,31.0,Grassland,3,1.0,Carnivore,Invertivore,Terrestrial,11553.33
Anthus novaeseelandiae,15.5,3.4,3.9,25.6,83.8,19.7,24.07,Grassland,3,1.0,Carnivore,Invertivore,Terrestrial,6479742.4
Anthus nyassae,16.1,3.5,4.0,24.7,89.9,17.5,24.3,Grassland,3,1.0,Carnivore,Invertivore,Terrestrial,3381657.04
Anthus pallidiventris,17.1,4.2,5.0,31.3,93.0,19.7,31.0,Grassland,3,1.0,Carnivore,Invertivore,Terrestrial,942199.86
Anthus peruvianus,14.5,3.4,3.1,20.4,64.0,14.1,12.6,Shrubland,3,2.0,Carnivore,Invertivore,Terrestrial,88105.86
Anthus petrosus,16.8,3.2,3.6,23.0,88.2,23.4,22.4,Rock,3,2.0,Carnivore,Invertivore,Terrestrial,292817.47
Anthus pratensis,14.2,3.1,3.1,21.5,77.8,18.9,18.4,Grassland,3,2.0,Carnivore,Invertivore,Terrestrial,6733599.47
Anthus richardi,18.0,4.0,4.3,29.2,92.0,26.6,32.17,Grassland,3,3.0,Carnivore,Invertivore,Terrestrial,13319039.29
Anthus roseatus,13.7,3.0,3.1,21.5,82.8,15.0,20.61,Grassland,3,1.0,Carnivore,Invertivore,Terrestrial,4930715.09
Anthus rubescens,14.5,3.1,3.1,21.2,85.0,24.1,20.68,Grassland,3,3.0,Carnivore,Invertivore,Terrestrial,12413847.38
Anthus rufulus,15.0,3.3,3.5,25.1,77.4,16.7,20.44,Grassland,3,1.0,Carnivore,Invertivore,Terrestrial,7678484.07
Anthus similis,20.1,3.7,4.2,25.7,90.2,17.4,25.3,Grassland,3,1.0,Carnivore,Invertivore,Terrestrial,7503578.58
Anthus sokokensis,14.2,2.9,3.5,18.0,68.8,12.4,15.0,Forest,1,1.0,Carnivore,Invertivore,Terrestrial,2265.15
Anthus spinoletta,16.4,3.1,3.4,22.9,86.9,20.4,23.9,Grassland,3,3.0,Carnivore,Invertivore,Terrestrial,3806294.97
Anthus spragueii,14.2,3.5,3.8,22.2,78.1,20.8,25.5,Grassland,3,3.0,Carnivore,Invertivore,Terrestrial,1036783.61
Anthus sylvanus,16.1,3.3,4.9,22.7,80.4,16.1,31.0,Grassland,3,1.0,Carnivore,Invertivore,Terrestrial,465229.13
Anthus trivialis,15.7,3.3,3.8,20.6,86.1,25.2,23.33,Woodland,2,3.0,Omnivore,Invertivore,Terrestrial,15353264.33
Anthus vaalensis,17.0,3.7,4.0,28.8,103.0,24.8,27.0,Grassland,3,1.0,Carnivore,Invertivore,Terrestrial,4452532.2
Dendronanthus indicus,17.5,3.3,3.4,20.5,78.4,26.9,16.4,Forest,1,3.0,Carnivore,Invertivore,Terrestrial,3836185.44
Hemimacronyx chloris,15.2,3.1,3.6,24.3,84.5,17.4,25.1,Grassland,3,1.0,Carnivore,Invertivore,Terrestrial,82125.98
Macronyx ameliae,18.7,3.9,4.9,30.8,89.8,15.8,33.48,Grassland,3,1.0,Carnivore,Invertivore,Terrestrial,1902624.72
Macronyx aurantiigula,18.7,4.2,5.4,33.1,91.8,11.6,39.4,Grassland,3,1.0,Carnivore,Invertivore,Terrestrial,375644.56
Macronyx capensis,21.0,4.1,5.2,34.2,94.4,21.4,50.04,Grassland,3,1.0,Omnivore,Invertivore,Terrestrial,815796.1
Macronyx croceus,19.6,4.1,5.8,34.7,93.4,14.6,47.1,Grassland,3,1.0,Carnivore,Invertivore,Terrestrial,6192075.07
Macronyx flavicollis,17.0,3.7,4.8,31.5,87.8,15.6,45.08,Grassland,3,1.0,Carnivore,Invertivore,Terrestrial,404989.73
Macronyx fuelleborni,19.9,4.5,5.5,37.9,94.5,19.0,55.18,Grassland,3,1.0,Carnivore,Invertivore,Terrestrial,2079510.44
Macronyx grimwoodi,21.2,4.6,5.5,35.9,95.5,16.6,45.08,Grassland,3,1.0,Carnivore,Invertivore,Terrestrial,671345.15
Macronyx sharpei,17.0,3.7,4.9,28.5,87.0,15.7,29.9,Grassland,3,1.0,Carnivore,Invertivore,Terrestrial,1870.77
Madanga ruficollis,14.5,3.3,3.3,19.4,70.2,11.1,15.0,Forest,1,1.0,Carnivore,Invertivore,Insessorial,1363.4
Motacilla aguimp,18.7,3.5,3.7,24.0,91.3,23.1,27.0,Riverine,2,1.0,Carnivore,Invertivore,Terrestrial,11321309.29
Motacilla alba,16.1,3.4,3.5,23.4,87.0,27.4,23.93,Human Modified,3,3.0,Carnivore,Invertivore,Terrestrial,39488711.64
Motacilla capensis,16.6,3.2,3.6,23.1,81.6,21.0,20.8,Wetland,3,2.0,Carnivore,Invertivore,Terrestrial,3891210.17
Motacilla cinerea,17.4,3.1,3.0,18.2,82.8,28.6,17.15,Riverine,3,2.0,Carnivore,Invertivore,Terrestrial,19613139.17
Motacilla citreola,16.2,3.2,3.5,25.3,85.5,24.2,19.11,Wetland,3,3.0,Carnivore,Aquatic predator,Terrestrial,16401945.75
Motacilla clara,17.7,3.7,3.5,20.3,82.2,21.4,17.9,Forest,3,1.0,Carnivore,Invertivore,Terrestrial,3122291.69
Motacilla flava,16.0,3.2,3.5,23.1,79.5,24.7,17.68,Grassland,3,3.0,Carnivore,Invertivore,Terrestrial,19198163.05
Motacilla flaviventris,16.5,3.4,3.7,22.5,81.2,21.6,22.5,Riverine,3,1.0,Carnivore,Invertivore,Terrestrial,591120.51
