species,iucn_categoria
Tringa flavipes,VU
Pachyramphus minor,LC
Ampelion rufaxilla,LC
Haplophaedia assimilis,LC
Anairetes alpinus,VU
Jacana jacana,LC
Stilpnia argyrofenges,
Ochthoeca frontalis,
Calidris fuscicollis,VU
Saltator coerulescens,LC
Odontophorus speciosus,LC
Spinus crassirostris,LC
Euphonia mesochrysa,LC
Catharus fuscater,LC
Nothocercus nigrocapillus,LC
Cinclodes aricomae,
Philydor ruficaudatum,
Hylophilus ochraceiceps,
Pionus tumultuosus,LC
Phacellodomus maculipectus,LC
Polytmus guainumbi,LC
Crypturellus strigulosus,LC
Ramphastos tucanus,LC
Nothoprocta cinerascens,LC
Ochthoeca rufipectoralis,LC
Aratinga leucophthalma,
Strix virgata,
Cranioleuca gutturata,
Cacicus cela,LC
Laterallus exilis,LC
Monasa flavirostris,LC
Bolborhynchus orbygnesius,LC
Micrastur buckleyi,LC
Harpagus bidentatus,LC
Nyctibius grandis,LC
Micrastur gilvicollis,LC
Bucco macrodactylus,
Chaetura egregia,LC
Ibycter americanus,LC
Turdus fuscater,LC
Myrmotherula longipennis,LC
Dryocopus lineatus,
Capsiempis flaveola,LC
Dendrexetastes rufigula,LC
Xolmis cinereus,LC
Hydropsalis torquata,LC
Hemitriccus flammulatus,LC
Tityra semifasciata,LC
Sirystes albocinereus,LC
Cinclodes atacamensis,LC
Colaptes rubiginosus,LC
Chlorornis riefferii,LC
Myrmothera campanisona,LC
Cypsnagra hirundinacea,LC
Phoenicoparrus jamesi,NT
Zentrygon frenata,LC
Conopophaga ardesiaca,LC
Daptrius ater,LC
Oreotrochilus adela,LC
Elaenia pelzelni,LC
Culicivora caudacuta,LC
Upucerthia ruficaudus,
Elaenia chiriquensis,LC
Gallinago jamesoni,LC
Patagioenas maculosa,LC
Buteo nitidus,LC
Asthenes wyatti,LC
Diglossa glauca,LC
Atticora melanoleuca,
Vanellus resplendens,LC
Pyrrhura perlata,LC
Hylophilus amaurocephalus,LC
Accipiter bicolor,LC
Piaya melanogaster,LC
Celeus spectabilis,LC
Alectrurus tricolor,VU
Sublegatus modestus,LC
Dichrozona cincta,LC
Spatula puna,LC
Anthus lutescens,LC
Colaptes campestris,LC
Anas flavirostris,LC
Ictinia plumbea,LC
Psarocolius decumanus,LC
Lepidocolaptes lacrymiger,LC
Pseudotriccus simplex,LC
Myiodynastes chrysocephalus,LC
Chlorophanes spiza,LC
Tringa melanoleuca,NT
Athene cunicularia,LC
Picumnus fuscus,LC
Tangara chilensis,LC
Crypturellus obsoletus,LC
Spiziapteryx circumcincta,LC
Ramphocaenus sticturus,
Crypturellus undulatus,LC
Chrysuronia oenone,LC
Herpsilochmus frater,
Colibri delphinae,LC
Thlypopsis superciliaris,LC
Piculus chrysochloros,LC
Forpus xanthopterygius,LC
Mycteria americana,LC
Lochmias nematura,LC
Xenops tenuirostris,LC
Passer domesticus,LC
Anairetes flavirostris,LC
Sicalis uropigyalis,LC
Eucometis penicillata,LC
Legatus leucophaius,LC
Colibri serrirostris,LC
Bucco capensis,LC
Veniliornis frontalis,LC
Tolmomyias poliocephalus,LC
Poospiza boliviana,LC
Catamenia homochroa,LC
Zenaida auriculata,LC
Picumnus cirratus,LC
Strix chacoensis,NT
Lipaugus uropygialis,VU
Oreotrochilus estella,LC
Chalcostigma olivaceum,LC
Trogon ramonianus,
Grallaricula leymebambae,LC
Ochthoeca oenanthoides,LC
Pseudocolaptes boissonneautii,
Sporophila iberaensis,NT
Thripadectes holostictus,LC
Porphyrio flavirostris,LC
Xiphorhynchus triangularis,LC
Agelasticus cyanopus,LC
Aegolius harrisii,LC
Pipile cujubi,VU
Colibri cyanotus,
Crypturellus atrocapillus,LC
Steatornis caripensis,LC
Sporophila schistacea,LC
Chamaeza mollissima,LC
Phaetusa simplex,LC
Atticora fasciata,LC
Saltatricula multicolor,
Muscisaxicola juninensis,LC
Phaethornis subochraceus,LC
Nonnula sclateri,LC
Piprites chloris,LC
Anthus hellmayri,LC
Selenidera gouldii,LC
Myiobius barbatus,LC
Patagioenas cayennensis,LC
Orthopsittaca manilata,
Geospizopsis unicolor,LC
Tachycineta leucorrhoa,LC
Turdus rufiventris,LC
Stelgidopteryx ruficollis,LC
Leucopternis kuhli,LC
Phlegopsis erythroptera,LC
Fulica gigantea,LC
Falco rufigularis,LC
Bolborhynchus lineola,LC
Poospizopsis hypocondria,LC
Anthus correndera,LC
Elaenia pallatangae,LC
Pteroglossus castanotis,LC
Asthenes humilis,LC
Veniliornis affinis,LC
Himantopus melanurus,
Berlepschia rikeri,LC
Nyctiphrynus ocellatus,LC
Leptopogon superciliaris,LC
Momotus aequatorialis,LC
Sphenopsis melanotis,LC
Jacamerops aureus,LC
Agelasticus thilius,LC
Aramus guarauna,LC
Phaethornis hispidus,LC
Loriotus luctuosus,
Laterallus melanophaius,LC
Phaethornis malaris,LC
Ramphocaenus melanurus,LC
Eubucco richardsoni,LC
Dendrocincla merula,LC
Buteo albicaudatus,
Dendrocolaptes certhia,LC
Phrygilus punensis,LC
Thalurania furcata,LC
Buteo polyosoma,
Vireo leucophrys,LC
Cnipodectes superrufus,VU
Platyrinchus coronatus,LC
Buteo platypterus,LC
Porzana albicollis,LC
Cypseloides rothschildi,LC
Hemithraupis guira,LC
Conirostrum albifrons,LC
Furnarius leucopus,LC
Schistocichla brunneiceps,
Upucerthia validirostris,LC
Falco deiroleucus,NT
Eleothreptus candicans,VU
Neomorphus geoffroyi,VU
Coccyzus melacoryphus,LC
Chlorophonia cyanea,LC
Ampelioides tschudii,LC
Querula purpurata,LC
Megascops watsonii,LC
Helicolestes hamatus,LC
Odontorchilus cinereus,LC
Myiarchus cephalotes,LC
Uropelia campestris,LC
Tinamus guttatus,NT
Touit huetii,LC
Heterocercus linteatus,LC
Vireo flavoviridis,LC
Accipiter superciliosus,LC
Amaurolimnas concolor,LC
Rhynchospiza strigiceps,LC
Piranga lutea,
Campephilus haematogaster,LC
Micropygia schomburgkii,LC
Philydor pyrrhodes,LC
Anas georgica,LC
Oxyura ferruginea,LC
Merganetta armata,LC
Lophospingus pusillus,LC
Coragyps atratus,LC
Vanellus chilensis,LC
Falco sparverius,LC
Sayornis nigricans,LC
Egretta thula,LC
Sicalis olivascens,LC
Pseudocolopteryx acutipennis,LC
Anas bahamensis,LC
